               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,             0.02881,           0.0089802,           0.0023726,             0.98797,             0.97615,             0.99252,             0.67332,            0.024761,           0.0047291,          0.00042786,            0.008977,            0.008977,            0.008977
                  64,            0.029124,           0.0091164,           0.0025538,             0.98111,             0.98833,             0.99121,             0.68022,            0.024376,           0.0047596,          0.00043736,           0.0089605,           0.0089605,           0.0089605
                  65,            0.029702,           0.0085761,            0.002472,              0.9825,             0.98662,             0.99014,             0.66936,            0.025099,           0.0046944,          0.00042012,            0.008944,            0.008944,            0.008944
                  66,            0.029967,           0.0091348,           0.0023563,             0.98179,             0.98976,              0.9917,             0.66654,            0.025086,           0.0048078,          0.00054286,           0.0089275,           0.0089275,           0.0089275
                  67,            0.029028,           0.0088417,           0.0020995,              0.9801,              0.9857,             0.99233,             0.66867,            0.024635,            0.004787,          0.00055106,            0.008911,            0.008911,            0.008911
                  68,            0.028952,           0.0089145,           0.0024362,             0.98276,             0.96982,             0.99278,             0.66798,            0.024657,           0.0049194,          0.00034898,           0.0088945,           0.0088945,           0.0088945
                  69,            0.028905,           0.0087742,           0.0021589,             0.98583,             0.97677,             0.99243,             0.68489,            0.024197,           0.0046274,           0.0005757,            0.008878,            0.008878,            0.008878
                  70,            0.029321,           0.0089157,           0.0020587,             0.98827,             0.98407,             0.99334,             0.68672,            0.024107,           0.0046777,           0.0005312,           0.0088615,           0.0088615,           0.0088615
                  71,            0.028349,           0.0085749,           0.0022106,             0.98839,              0.9924,             0.99418,             0.68074,            0.024139,            0.004611,          0.00031828,            0.008845,            0.008845,            0.008845
                  72,            0.028534,           0.0084699,           0.0022755,             0.97683,             0.98478,             0.99213,             0.67786,            0.024454,           0.0047024,          0.00046374,           0.0088285,           0.0088285,           0.0088285
                  73,            0.028045,           0.0081151,           0.0019332,             0.98661,             0.99249,             0.99292,              0.6822,            0.024396,           0.0045911,          0.00037504,            0.008812,            0.008812,            0.008812
