               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.031174,           0.0089618,           0.0022266,             0.97649,             0.96756,             0.98639,             0.57259,            0.028797,           0.0051012,           0.0011692,             0.00901,             0.00901,             0.00901
                  52,            0.031458,           0.0093046,           0.0026725,             0.96172,             0.96013,             0.97662,             0.59867,            0.029206,           0.0054111,           0.0010381,           0.0089902,           0.0089902,           0.0089902
                  53,            0.031309,           0.0092801,           0.0026907,             0.97254,              0.9792,             0.98879,             0.63084,            0.027164,           0.0050607,          0.00080394,           0.0089704,           0.0089704,           0.0089704
                  54,            0.030933,           0.0086269,           0.0028015,             0.97132,             0.98669,             0.98978,             0.64174,            0.026826,           0.0048817,          0.00081205,           0.0089506,           0.0089506,           0.0089506
                  55,            0.031184,           0.0090429,           0.0030757,             0.98605,             0.97815,             0.99124,             0.64216,            0.026431,           0.0050832,          0.00042314,           0.0089308,           0.0089308,           0.0089308
                  56,            0.030186,           0.0090349,            0.002351,              0.9709,             0.98354,             0.98963,             0.64528,            0.026235,           0.0049717,          0.00056241,            0.008911,            0.008911,            0.008911
                  57,            0.030459,           0.0087802,           0.0024911,             0.97594,             0.98183,             0.98856,             0.63284,            0.026525,           0.0048327,          0.00079051,           0.0088912,           0.0088912,           0.0088912
                  58,            0.030586,           0.0092175,           0.0019162,             0.97787,             0.98576,              0.9923,             0.64078,            0.026137,           0.0048078,          0.00052954,           0.0088714,           0.0088714,           0.0088714
                  59,            0.030875,           0.0088757,           0.0028963,             0.97845,             0.97811,             0.99123,             0.64719,            0.026184,           0.0049344,          0.00058096,           0.0088516,           0.0088516,           0.0088516
                  60,            0.030084,           0.0085573,           0.0024487,             0.98906,             0.97376,             0.99164,             0.66238,            0.025351,           0.0047691,          0.00054691,           0.0088318,           0.0088318,           0.0088318
                  61,            0.030293,           0.0086844,           0.0020678,             0.98207,             0.97764,             0.99078,             0.65179,            0.026188,           0.0049577,           0.0005889,            0.008812,            0.008812,            0.008812
                  62,             0.02947,           0.0089606,           0.0024662,             0.98666,             0.98322,              0.9923,             0.65698,            0.025466,           0.0047435,          0.00052695,           0.0087922,           0.0087922,           0.0087922
                  63,            0.029283,           0.0090628,           0.0024856,             0.97532,             0.98309,             0.99063,             0.66604,            0.025369,           0.0047401,          0.00070179,           0.0087724,           0.0087724,           0.0087724
                  64,             0.02975,           0.0092258,            0.002445,             0.97355,             0.98185,             0.99149,             0.66407,            0.025365,           0.0049739,          0.00064411,           0.0087526,           0.0087526,           0.0087526
                  65,            0.029209,           0.0085784,           0.0023479,             0.98623,             0.98318,             0.99125,             0.68248,            0.024558,           0.0046927,          0.00054569,           0.0087328,           0.0087328,           0.0087328
                  66,            0.029627,           0.0091416,           0.0022727,             0.97403,             0.99006,              0.9909,             0.65491,            0.024962,           0.0048415,          0.00044564,            0.008713,            0.008713,            0.008713
                  67,            0.029255,           0.0087963,            0.002043,             0.98251,             0.98791,             0.99306,             0.67069,            0.025595,           0.0047425,          0.00033003,           0.0086932,           0.0086932,           0.0086932
                  68,            0.028792,           0.0089325,           0.0023025,             0.98841,             0.98743,             0.99445,             0.68507,            0.023644,           0.0046191,          0.00032239,           0.0086734,           0.0086734,           0.0086734
                  69,            0.028719,           0.0087573,           0.0022088,             0.98122,              0.9761,             0.99101,              0.6616,            0.025136,           0.0048621,          0.00039694,           0.0086536,           0.0086536,           0.0086536
                  70,             0.02879,           0.0088209,            0.002059,             0.98146,             0.97449,             0.99181,             0.68047,            0.024754,           0.0047519,          0.00045274,           0.0086338,           0.0086338,           0.0086338
                  71,            0.028768,           0.0085887,           0.0022068,             0.98643,             0.99328,             0.99343,             0.70577,            0.022779,           0.0044782,          0.00033483,            0.008614,            0.008614,            0.008614
                  72,             0.02904,           0.0085324,           0.0020207,             0.98312,             0.98681,              0.9929,             0.67819,            0.024871,           0.0045902,          0.00035188,           0.0085942,           0.0085942,           0.0085942
                  73,             0.02828,           0.0080658,           0.0016817,             0.98311,             0.99069,             0.99168,             0.68726,            0.023921,           0.0045202,          0.00027468,           0.0085744,           0.0085744,           0.0085744
                  74,            0.028306,           0.0085692,           0.0019534,             0.98177,              0.9866,             0.99254,             0.68015,            0.024165,           0.0046689,          0.00037157,           0.0085546,           0.0085546,           0.0085546
                  75,            0.028004,           0.0083067,           0.0021435,             0.98486,             0.99491,             0.99376,             0.69967,             0.02338,           0.0045393,          0.00039089,           0.0085348,           0.0085348,           0.0085348
                  76,            0.027962,           0.0084547,           0.0021009,             0.98804,             0.98816,              0.9945,             0.68415,            0.023807,           0.0046389,          0.00038665,            0.008515,            0.008515,            0.008515
                  77,            0.028493,           0.0082494,           0.0020662,             0.98683,             0.99152,             0.99394,             0.70153,            0.022853,           0.0045663,           0.0002959,           0.0084952,           0.0084952,           0.0084952
                  78,            0.027545,           0.0083359,           0.0021374,             0.99226,             0.98969,             0.99405,             0.68363,            0.023498,            0.004571,          0.00027012,           0.0084754,           0.0084754,           0.0084754
                  79,            0.027701,           0.0082809,           0.0019594,              0.9926,             0.98908,             0.99361,             0.69895,            0.023322,           0.0045276,          0.00023324,           0.0084556,           0.0084556,           0.0084556
                  80,            0.027595,           0.0082857,           0.0018237,             0.98834,             0.97603,             0.98878,              0.6511,            0.025767,           0.0048826,            0.000242,           0.0084358,           0.0084358,           0.0084358
                  81,            0.028093,           0.0084187,           0.0020098,             0.97895,             0.98528,             0.99249,             0.66776,            0.025033,           0.0047853,          0.00043001,            0.008416,            0.008416,            0.008416
                  82,            0.027957,           0.0081599,           0.0019245,             0.98807,             0.98824,             0.99408,             0.69168,             0.02327,           0.0044269,          0.00039496,           0.0083962,           0.0083962,           0.0083962
                  83,            0.027223,           0.0083531,           0.0018136,             0.98589,             0.98458,               0.994,             0.70241,            0.022729,           0.0045246,          0.00040611,           0.0083764,           0.0083764,           0.0083764
                  84,            0.026485,           0.0084658,           0.0018235,             0.98579,             0.98981,             0.99309,             0.69611,            0.022398,           0.0044361,          0.00027553,           0.0083566,           0.0083566,           0.0083566
                  85,            0.027186,           0.0082763,           0.0016302,             0.99294,             0.98969,             0.99371,             0.71246,            0.021798,           0.0044024,          0.00024792,           0.0083368,           0.0083368,           0.0083368
                  86,            0.027155,            0.008218,           0.0017752,             0.99247,             0.99144,             0.99409,             0.71613,            0.022261,           0.0043892,          0.00028196,            0.008317,            0.008317,            0.008317
                  87,            0.026956,           0.0083232,           0.0017064,             0.98231,             0.98722,             0.99207,             0.69798,            0.023454,           0.0044849,          0.00025884,           0.0082972,           0.0082972,           0.0082972
                  88,            0.027447,           0.0080047,           0.0015386,             0.98907,             0.98835,             0.99294,             0.68201,             0.02384,           0.0044868,          0.00037912,           0.0082774,           0.0082774,           0.0082774
                  89,            0.026859,           0.0083151,           0.0015929,              0.9887,             0.98619,             0.99414,             0.71716,            0.022105,           0.0044092,          0.00023553,           0.0082576,           0.0082576,           0.0082576
                  90,            0.026995,           0.0082017,           0.0017333,             0.99412,             0.99313,             0.99338,             0.72573,            0.021581,            0.004343,          0.00021153,           0.0082378,           0.0082378,           0.0082378
                  91,            0.026404,           0.0080978,           0.0018506,             0.99002,             0.99656,             0.99318,             0.71515,            0.021494,           0.0042307,           0.0002508,            0.008218,            0.008218,            0.008218
                  92,            0.026409,           0.0079755,           0.0017093,             0.98834,             0.98634,             0.99372,             0.72708,            0.021855,           0.0042542,          0.00052328,           0.0081982,           0.0081982,           0.0081982
                  93,            0.026395,           0.0083824,           0.0021229,             0.98462,             0.99143,             0.99301,             0.71035,            0.022471,            0.004292,          0.00036829,           0.0081784,           0.0081784,           0.0081784
                  94,            0.026231,           0.0080352,            0.001577,             0.98861,             0.98772,             0.99285,             0.72911,            0.021122,           0.0042914,          0.00054593,           0.0081586,           0.0081586,           0.0081586
