               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,             0.02527,           0.0077997,           0.0018342,             0.98696,             0.99371,             0.99393,             0.74148,            0.020087,           0.0039679,           0.0004023,           0.0093169,           0.0093169,           0.0093169
                  71,            0.026084,           0.0075726,           0.0021135,             0.99183,             0.99671,             0.99433,             0.73979,            0.020093,           0.0040196,          0.00031369,            0.009307,            0.009307,            0.009307
                  72,            0.025169,           0.0076202,           0.0018435,             0.99587,             0.99201,             0.99444,             0.75362,            0.019636,           0.0038373,          0.00042095,           0.0092971,           0.0092971,           0.0092971
                  73,            0.024486,           0.0076793,           0.0016761,             0.99568,             0.99493,             0.99433,              0.7573,            0.019386,           0.0038095,          0.00029127,           0.0092872,           0.0092872,           0.0092872
                  74,            0.024281,           0.0075331,           0.0017842,             0.99748,             0.99611,             0.99497,             0.74789,            0.019804,           0.0038549,          0.00038602,           0.0092773,           0.0092773,           0.0092773
                  75,            0.025288,           0.0077698,           0.0016886,              0.9967,              0.9975,             0.99495,             0.76507,            0.018834,           0.0038544,           0.0002774,           0.0092674,           0.0092674,           0.0092674
                  76,            0.024427,           0.0075041,            0.001788,             0.99031,             0.99587,             0.99486,             0.75124,            0.019519,           0.0039274,          0.00043143,           0.0092575,           0.0092575,           0.0092575
                  77,             0.02431,           0.0075729,           0.0019273,             0.98984,             0.99488,             0.99411,             0.72954,            0.020261,           0.0039534,          0.00039433,           0.0092476,           0.0092476,           0.0092476
                  78,            0.024351,           0.0076358,           0.0020234,             0.99497,             0.99488,             0.99394,             0.75852,            0.019081,           0.0037813,          0.00026901,           0.0092377,           0.0092377,           0.0092377
                  79,            0.024896,           0.0075805,           0.0020232,             0.98725,             0.99254,             0.99321,             0.75205,             0.01894,           0.0038487,          0.00056968,           0.0092278,           0.0092278,           0.0092278
                  80,            0.024173,           0.0077269,           0.0017043,             0.99747,             0.99655,             0.99493,             0.75688,            0.018907,            0.003762,          0.00025191,           0.0092179,           0.0092179,           0.0092179
                  81,            0.024375,           0.0074589,           0.0019391,             0.99601,             0.99658,             0.99475,             0.77445,            0.018571,            0.003687,          0.00032418,            0.009208,            0.009208,            0.009208
                  82,            0.024152,           0.0074085,            0.001657,             0.99662,              0.9975,             0.99464,             0.77912,             0.01792,           0.0036787,          0.00022988,           0.0091981,           0.0091981,           0.0091981
                  83,            0.024596,           0.0075058,           0.0018261,             0.99504,             0.99615,              0.9947,             0.76915,            0.018228,           0.0037426,          0.00023748,           0.0091882,           0.0091882,           0.0091882
                  84,            0.024023,           0.0076238,           0.0015031,             0.99577,             0.99695,             0.99465,             0.78427,            0.017707,           0.0036353,          0.00022468,           0.0091783,           0.0091783,           0.0091783
                  85,            0.024111,           0.0073341,           0.0017612,             0.99664,             0.99767,             0.99435,             0.79045,            0.017786,           0.0036041,          0.00025482,           0.0091684,           0.0091684,           0.0091684
                  86,            0.023762,           0.0071363,           0.0014882,             0.99112,              0.9987,             0.99472,             0.76355,            0.018342,           0.0037791,          0.00029549,           0.0091585,           0.0091585,           0.0091585
                  87,            0.023103,           0.0072289,           0.0015708,             0.99735,             0.99057,             0.99471,             0.78472,            0.017533,           0.0035974,          0.00039743,           0.0091486,           0.0091486,           0.0091486
                  88,            0.023897,           0.0071684,           0.0015293,             0.99593,             0.99862,             0.99437,             0.78975,            0.017068,           0.0035341,          0.00024869,           0.0091387,           0.0091387,           0.0091387
                  89,            0.022811,           0.0072739,           0.0015719,              0.9959,             0.99323,             0.99472,               0.793,            0.016767,           0.0035688,          0.00029265,           0.0091288,           0.0091288,           0.0091288
                  90,            0.023214,           0.0071024,           0.0015862,             0.99704,             0.99752,             0.99498,             0.78993,            0.017059,           0.0035752,          0.00022687,           0.0091189,           0.0091189,           0.0091189
                  91,            0.023246,           0.0070898,           0.0016857,             0.99664,             0.99808,              0.9947,             0.79453,            0.017085,           0.0035166,          0.00020689,            0.009109,            0.009109,            0.009109
                  92,            0.022974,            0.007017,           0.0016672,             0.99655,             0.99912,             0.99433,             0.78712,            0.017325,           0.0035181,            0.000278,           0.0090991,           0.0090991,           0.0090991
                  93,            0.022278,           0.0072905,           0.0013869,             0.99877,             0.99825,             0.99453,             0.79256,            0.017388,           0.0035181,          0.00024134,           0.0090892,           0.0090892,           0.0090892
                  94,            0.022256,           0.0069811,           0.0014838,             0.99483,             0.99702,             0.99472,             0.79761,            0.016611,           0.0034533,           0.0002614,           0.0090793,           0.0090793,           0.0090793
                  95,            0.022435,           0.0069847,           0.0015718,             0.99498,             0.99825,             0.99462,             0.79325,            0.017128,           0.0035899,          0.00033033,           0.0090694,           0.0090694,           0.0090694
                  96,            0.021906,            0.007126,           0.0016119,             0.99748,             0.99824,             0.99492,             0.81183,            0.015736,           0.0033746,          0.00029432,           0.0090595,           0.0090595,           0.0090595
                  97,            0.022043,           0.0070077,            0.001524,             0.99577,             0.99832,             0.99434,             0.80699,            0.016201,           0.0033517,          0.00020718,           0.0090496,           0.0090496,           0.0090496
                  98,             0.02194,           0.0067404,           0.0010582,             0.99617,             0.99912,             0.99438,             0.80351,            0.016799,           0.0033767,          0.00024865,           0.0090397,           0.0090397,           0.0090397
                  99,            0.022347,           0.0070779,           0.0013824,             0.99646,             0.99573,             0.99496,             0.81056,            0.015786,           0.0033745,          0.00028392,           0.0090298,           0.0090298,           0.0090298
                 100,            0.022145,           0.0069741,           0.0016159,             0.99848,             0.99832,              0.9949,             0.80689,            0.016238,           0.0033493,          0.00022236,           0.0090199,           0.0090199,           0.0090199
                 101,             0.02168,           0.0067115,           0.0015744,             0.99751,             0.99714,             0.99498,              0.8064,            0.016055,           0.0033973,          0.00024256,             0.00901,             0.00901,             0.00901
                 102,             0.02207,           0.0066799,           0.0011887,             0.99548,             0.99912,             0.99489,             0.79788,            0.016559,           0.0034439,          0.00029137,           0.0090001,           0.0090001,           0.0090001
                 103,              0.0222,           0.0069125,           0.0012412,             0.99828,             0.99742,             0.99494,             0.81232,            0.015574,           0.0033844,          0.00025396,           0.0089902,           0.0089902,           0.0089902
                 104,            0.021123,           0.0069837,           0.0012651,              0.9967,             0.99834,             0.99492,             0.82375,            0.015049,           0.0032775,          0.00022973,           0.0089803,           0.0089803,           0.0089803
                 105,            0.021854,           0.0067777,           0.0015677,             0.99727,             0.99912,              0.9949,             0.81173,             0.01573,           0.0032932,          0.00023453,           0.0089704,           0.0089704,           0.0089704
                 106,            0.021109,           0.0070832,           0.0014973,             0.99832,             0.99745,             0.99493,             0.81541,            0.015314,           0.0033296,           0.0002212,           0.0089605,           0.0089605,           0.0089605
                 107,            0.022363,           0.0069249,           0.0017132,             0.99712,             0.99912,             0.99486,             0.81052,            0.016025,           0.0033513,          0.00027101,           0.0089506,           0.0089506,           0.0089506
